SUB-DISTRICT,ELEVATION,RIVER DENSITY,RAINFALL,POPULATION DENSITY,ROAD DENSITY,BUILTUP,DEPRIVATION INDEX,LITERACY RATE,SEX RATIO,CROPLAND,,ELEVATION,RIVER DENSITY,RAINFALL,Hazard Index,POPULATION DENSITY,ROAD DENSITY,BUILTUP,Exposure Index,DEPRIVATION INDEX,LITERACY RATE,SEX RATIO,CROPLAND,Vulnerability Index,,Risk Index
IRITTY,224.5421412,0.003,54609.76428,783.9425171,0.019,605.3720961,61.0835389,93.9,1091,0.303714288,,0.838310629,0,0.366943417,0.401751349,0.118844638,0.033628319,0.04629586,0.066256272,0.737931034,0.52,0.072623711,0.161689371,0.373061029,,0.009930342
KANJIRAPPALLY,155.2466539,0.092,45634.6167,726.5602462,0.042,181.5867996,60.31720948,96.9,1040,0.3866,,0.888563384,0.28802589,0.293737136,0.490108803,0.108571263,0.074336283,0.009057609,0.063988385,0.944827586,0.775,0.183018398,0.111436616,0.50357065,,0.015792616
KARTHIKAPPALLY,4.984063745,0.113,25898.41284,1917.199783,0.344,2398.534007,46.2975366,94.7,1149,0.872333328,,0.997533096,0.355987055,0.13275771,0.495425954,0.321736165,0.608849558,0.203861997,0.37814924,0.793103448,0.23,0.829961979,0.002466904,0.463883083,,0.086906152
KATTAKADA,255.8770833,0.025,26595.1665,1196.543939,0.058,653.9498973,52.17746749,91.5,1041,0.431833329,,0.815586679,0.071197411,0.13844082,0.341741636,0.192714301,0.102654867,0.050564418,0.115311196,0.572413793,0.77,0.243264238,0.184413321,0.442522838,,0.017438337
KANAYANNUR,5.732432432,0.05,30892.87012,3121.973663,0.038,11458.88393,28.65527871,97.1,1034,0.914671746,,0.996990382,0.15210356,0.173495274,0.440863072,0.537431593,0.067256637,1,0.534896077,0.95862069,0.805,0.886352114,0.003009618,0.663245605,,0.156403878
KANNUR,18.39612188,0.106,23885.75513,2053.552409,0.076,5592.436713,46.27205213,95.9,1180,0.949000001,,0.987806735,0.333333333,0.116341358,0.479160475,0.346147914,0.134513274,0.48451201,0.321724399,0.875862069,0.075,0.932073588,0.012193265,0.473782231,,0.073037139
KARUNAGAPPALLY,10.98529412,0.083,18293.96387,2440.2436,0.112,2333.284,34.13496069,94,1099,0.872341318,,0.993181032,0.258899676,0.070731607,0.440937438,0.415378766,0.198230088,0.198128443,0.270579099,0.744827586,0.48,0.82997262,0.006818968,0.515404794,,0.06149215
KASARAGOD,107.6333789,0.022,56415.1958,687.8730771,0.042,2215.696008,58.95446848,89.4,1049,0.664625008,,0.923092304,0.061488673,0.381669518,0.455416832,0.101644947,0.074336283,0.18779592,0.12125905,0.427586207,0.73,0.553317251,0.076907696,0.446952789,,0.024682258
KOCHI,1.582352941,0.03,18295.74609,5705.664645,0.565,3225.144511,36.31729371,96.6,1025,0.560000002,,1,0.087378641,0.070746144,0.386041595,1,1,0.276496723,0.758832241,0.924137931,0.85,0.413968206,0,0.547026534,,0.160246395
KOLLAM,16.31637168,0.089,34445.15381,2623.512345,0.036,6278.994796,37.03892995,94.1,1101,0.860333333,,0.98931496,0.278317152,0.20246967,0.490033927,0.448190094,0.063716814,0.544840252,0.352249053,0.751724138,0.47,0.813979301,0.01068504,0.51159712,,0.088308819
KONDOTTY,55.69899666,0.031,16827.0835,1612.71112,0.123,1828.772504,53.76070862,94.6,1052,0.867666662,,0.960754869,0.090614887,0.058766917,0.370045558,0.267222356,0.217699115,0.153796736,0.212906069,0.786206897,0.715,0.823746491,0.039245131,0.59104963,,0.046565813
KONNI,576.6821886,0.038,132222.998,304.1882199,0.011,711.9025028,59.18693917,96.8,1091,0.249187498,,0.582940352,0.113268608,1,0.565402987,0.03295233,0.019469027,0.055656746,0.036026034,0.937931034,0.52,0,0.417059648,0.468747671,,0.009548028
KOTHAMANGALAM,371.0607394,0.005,81868.96277,317.5003793,0.011,693.5588034,58.95111958,94.1,1015,0.577899998,,0.732056042,0.006472492,0.58928456,0.442604365,0.035335659,0.019469027,0.054044875,0.036283187,0.751724138,0.9,0.437809039,0.267943958,0.589369284,,0.009464738
KOTTARAKKARA,66.06221548,0.062,48403.03833,955.9219558,0.03,1562.872602,50.71538095,94.4,1139,0.766199994,,0.953239512,0.190938511,0.316317918,0.486831981,0.149634797,0.053097345,0.130431963,0.111054702,0.772413793,0.28,0.688604005,0.046760488,0.446944571,,0.024164049
KOTTAYAM,22.07641196,0.005,51728.52661,1354.671883,0.032,2510.018491,47.98310187,97.6,1044,0.889600003,,0.985137806,0.006472492,0.343442445,0.445017581,0.221024572,0.056637168,0.213658201,0.163773314,0.993103448,0.755,0.852959298,0.014862194,0.653981235,,0.047663463
QUILANDY,187.2044888,0.057,59411.40747,1071.700139,0.02,1455.418801,62.00126822,94.5,1121,0.686999997,,0.865387715,0.174757282,0.406108282,0.482084426,0.170363022,0.03539823,0.120989938,0.108917063,0.779310345,0.37,0.583118286,0.134612285,0.466760229,,0.024508282
KOZHENCHERY,39.48815166,0.312,20312.7688,667.4464742,0.117,1161.041597,46.0570172,96.4,1146,0.580750011,,0.972510896,1,0.087198099,0.686569665,0.097987891,0.207079646,0.095122849,0.133396795,0.910344828,0.245,0.441604944,0.027489104,0.406109719,,0.037194043
KOZHIKODE,44.29922481,0.015,49981.68164,1776.573675,0.023,7468.824794,49.89785467,96,1074,0.809999996,,0.969021929,0.038834951,0.329194208,0.445683696,0.296559317,0.040707965,0.649391277,0.328886186,0.882758621,0.605,0.74694081,0.030978071,0.566419375,,0.083025305
KODUNGALLUR,54.87966805,0.204,13071.12354,981.0945331,0.065,1204.1856,47.8784462,95.3,1139,0.543667752,,0.961349042,0.650485437,0.028131224,0.546655234,0.154141543,0.115044248,0.098913936,0.122699909,0.834482759,0.28,0.392215437,0.038650958,0.386337288,,0.025913399
KUNNATHUR,19.47878788,0.144,15068.2417,1384.115396,0.087,519.617098,45.08698082,94.4,1103,0.693500012,,0.987021591,0.45631068,0.044420828,0.495917699,0.22629596,0.153982301,0.03876052,0.139679594,0.772413793,0.46,0.591775594,0.012978409,0.459291949,,0.031814962
KUNNATHUNAD,26.22695035,0.02,52274.47119,735.0000989,0.107,4434.075698,41.35069982,94.8,1012,0.80657142,,0.982127856,0.055016181,0.347895472,0.461679836,0.110082284,0.189380531,0.382726181,0.227396332,0.8,0.915,0.742374321,0.017872144,0.618811616,,0.064965505
KUTTANAD,3.288461538,0.006,32837.00269,849.7325305,0.262,287.4215014,58.02197154,97.6,1075,0.888500005,,0.998762738,0.009708738,0.189352698,0.399274725,0.130623284,0.463716814,0.018357364,0.204232487,0.993103448,0.6,0.851494222,0.001237262,0.611458733,,0.049861323
MEENACHIL,133.6376263,0.019,65183.05713,537.4713095,0.023,507.1078992,58.39761432,97.3,1015,0.718250003,,0.904234148,0.051779935,0.453185058,0.469733047,0.074717924,0.040707965,0.03766133,0.051029073,0.972413793,0.9,0.62473987,0.095765852,0.648229879,,0.015538097
MANANTHAVADY,795.2969629,0.024,45479.41931,343.903534,0.014,229.3475986,62.7579198,88.6,1024,0.601000004,,0.424401964,0.067961165,0.29247126,0.261611463,0.04006272,0.024778761,0.013254377,0.026031953,0.372413793,0.855,0.468575717,0.575598036,0.567896887,,0.003867524
MAVELIKKARA,14.39855072,0.113,25968.87378,1348.944119,0.068,1999.141101,46.63594285,95.6,1170,0.831999987,,0.990705755,0.355987055,0.133332429,0.493341746,0.219999108,0.120353982,0.16876712,0.169706737,0.855172414,0.125,0.776242388,0.009294245,0.441427262,,0.036957799
MALLAPPALLY,43.34408602,0.072,9622.213379,840.2431749,,446.6025007,52.09801954,97.5,1105,0.585426457,,0.969714591,0.223300971,0,0.397671854,0.128924367,0,0.032344687,0.053756351,0.986206897,0.45,0.447833457,0.030285409,0.478581441,,0.010230821
MANJESWARAN,63.34341253,0.035,38216.68652,696.0549795,0.052,1760.259399,56.45329118,89.4,1049,0.713,,0.955211175,0.103559871,0.233232383,0.43066781,0.103109785,0.092035398,0.147776451,0.114307211,0.427586207,0.73,0.61774744,0.044788825,0.455030618,,0.022400446
MANNARKAD,697.1649269,0.011,71430.98132,348.5252952,0.008,444.6233963,61.72383199,88.8,1063,0.352461542,,0.495566846,0.025889968,0.504146593,0.341867802,0.040890172,0.014159292,0.032170782,0.029073415,0.386206897,0.66,0.137549712,0.504433154,0.422047441,,0.004194841
MUKUNDAPURAM,24.75296443,0.03,30785.09912,1288.190151,0.046,3358.024272,48.01726845,95.4,1096,0.857499987,,0.983196783,0.087378641,0.172616234,0.414397219,0.209122085,0.081415929,0.288172942,0.192903652,0.84137931,0.495,0.810205594,0.016803217,0.54084703,,0.043234629
MUVATTUPUZHA,35.61346154,0.017,47719.77734,747.6411681,0.041,1214.193796,53.40217589,95.8,1017,0.598333329,,0.975320803,0.045307443,0.310744862,0.443791036,0.112345464,0.072566372,0.099793362,0.094901733,0.868965517,0.89,0.465023997,0.024679197,0.562167178,,0.023676535
NEDUMANGAD,209.7132505,0.019,73392.6582,689.0745416,0.017,1344.488004,53.46386584,92.5,1105,0.461700001,,0.849064469,0.051779935,0.520147118,0.473663841,0.10186005,0.030088496,0.111242387,0.081063644,0.64137931,0.45,0.283043373,0.150935531,0.381339554,,0.014642263
NEYYATTINKARA,46.88888889,0.042,20506.29126,1466.381785,0.06,1140.7519,45.56764263,91.5,1041,0.819499999,,0.967143917,0.126213592,0.088776576,0.394044695,0.241024437,0.10619469,0.093339982,0.146853036,0.572413793,0.77,0.759593773,0.032856083,0.533715912,,0.030884357
NILAMBUR,411.2939024,0.012,89813.55859,475.7194538,0.018,177.5096004,61.91787841,92.3,1096,0.343187499,,0.702879145,0.029126214,0.65408509,0.462030149,0.063662245,0.031858407,0.008699343,0.034739999,0.627586207,0.495,0.125197703,0.297120855,0.386226191,,0.006199288
OTTAPPALAM,79.330373,0.049,34536.2312,1162.438428,0.077,1168.366799,54.67485858,93.4,1102,0.753833329,,0.943617508,0.148867314,0.203212548,0.431899123,0.186608257,0.136283186,0.095766518,0.139552654,0.703448276,0.465,0.672132962,0.056382492,0.474240932,,0.028583767
PEERUMADE,963.9011628,0.015,98122.78296,159.6303228,0.063,102.6501,63.17482899,89.8,1010,0.3172,,0.302131005,0.038834951,0.721859732,0.354275229,0.007071559,0.111504425,0.002121397,0.04023246,0.455172414,0.925,0.090585201,0.697868995,0.542156653,,0.007727556
PALAKKAD,245.79274,0.018,34104.90894,871.1907844,0.007,4717.062398,49.61859809,89.5,1048,0.659874998,,0.822899796,0.048543689,0.199694444,0.357045977,0.13446504,0.012389381,0.407592381,0.1848156,0.434482759,0.735,0.546990758,0.177100204,0.47339343,,0.031238128
PARAVUR,4.504424779,0.117,17458.18237,2431.426062,0.112,3448.191425,39.38656745,95.9,1047,0.780000001,,0.997880927,0.368932039,0.063914509,0.476909159,0.413800128,0.198230088,0.29609598,0.302708732,0.875862069,0.74,0.706984103,0.002119073,0.581241311,,0.08391065
PATTAMBI,50.64044944,0.043,25921.93347,1234.61049,0.035,1550.041104,53.63393476,93.4,1102,0.348666668,,0.964423303,0.129449838,0.132949558,0.4089409,0.199529506,0.061946903,0.129304452,0.130260287,0.703448276,0.465,0.132495356,0.035576697,0.334130082,,0.017798695
PATHANAPURAM,88.63022508,0.212,28685.91479,373.9280811,0.08,378.4367991,56.0314088,93.6,1125,0.494750001,,0.9368733,0.676375405,0.155494122,0.589580942,0.045438133,0.14159292,0.026354928,0.071128661,0.717241379,0.35,0.327062351,0.0631267,0.364357608,,0.015279738
PAYYANUR,86.74418605,0.038,40816.48218,917.7799524,0,3165.683493,58.37282308,93.9,1091,0.642166672,,0.938241046,0.113268608,0.254437758,0.435315804,0.142806083,0,0.271271851,0.138025978,0.737931034,0.52,0.523405208,0.061758954,0.460773799,,0.027685543
PERINTHALMANNA,78.36454849,0.041,41854.36206,1346.011412,0.014,1574.274494,55.92471724,94.3,1104,0.616833334,,0.944317919,0.122977346,0.262903282,0.443399516,0.219474053,0.024778761,0.131433854,0.125228889,0.765517241,0.455,0.489663977,0.055682081,0.441465825,,0.024513021
PONNANI,5.409482759,0.123,15060.01563,2018.174687,0.07,1630.0834,55.72699768,92.5,1147,0.483500004,,0.997224584,0.388349515,0.044353731,0.47664261,0.339814101,0.123893805,0.136337814,0.20001524,0.64137931,0.24,0.312078588,0.002775416,0.299058329,,0.028510961
PUNALUR,307.2136007,0.057,78917.05847,361.2303379,0.015,769.3320979,58.79946311,93.6,1125,0.318166669,,0.778357682,0.174757282,0.565207191,0.506107385,0.043164806,0.026548673,0.060703116,0.043472198,0.717241379,0.35,0.091872699,0.221642318,0.345189099,,0.007594713
RANNI,233.1091954,0.07,39258.95605,475.4527574,0.082,516.9450022,58.3385164,96.8,1091,0.366999996,,0.832097842,0.216828479,0.241733711,0.430220011,0.063614497,0.145132743,0.038525722,0.082424321,0.937931034,0.52,0.15691334,0.167902158,0.445686633,,0.015804312
SULTHANBATHERY,851.7763301,0.009,36096.61646,409.9222642,0.034,387.8253009,62.1212829,89.4,1029,0.675699997,,0.383443397,0.019417476,0.215939915,0.206266929,0.051882314,0.060176991,0.027179901,0.046413069,0.427586207,0.83,0.568067923,0.616556603,0.610552683,,0.005845115
THAMARASSERY,333.7181009,0.014,41968.52759,1620.325781,0.022,983.2524009,60.86504683,96,1074,0.539200008,,0.759136745,0.035598706,0.263834479,0.352856643,0.268585639,0.038938053,0.079500413,0.129008035,0.882758621,0.605,0.386264892,0.240863255,0.528721692,,0.024068121
TALAPPILLY,91.11754386,0.018,32246.41248,959.8509929,0.062,934.9207044,56.35922336,93.1,1100,0.349000005,,0.935069508,0.048543689,0.184535516,0.389382905,0.150338228,0.109734513,0.07525348,0.111775407,0.682758621,0.475,0.132939324,0.064930492,0.338907109,,0.014750401
THALASSERY,101.0875706,0.013,49665.69019,866.9985205,0.012,2525.042702,53.01511301,95.4,1136,0.482900003,,0.927839292,0.03236246,0.326616807,0.42893952,0.133714483,0.021238938,0.214978387,0.123310602,0.84137931,0.295,0.311279452,0.072160708,0.379954868,,0.020096873
TALIPARAMBA,151.3931452,0.018,76918.4043,670.723331,0.023,2093.440101,59.87093593,93.9,1091,0.506444449,,0.89135793,0.048543689,0.548905059,0.496268893,0.09857456,0.040707965,0.177053225,0.10544525,0.737931034,0.52,0.342638076,0.10864207,0.427302795,,0.022360412
TIRUR,33.57303371,0.041,32182.14746,2155.122944,0.07,3577.057894,53.24952205,93.2,1129,0.78780002,,0.976800511,0.122977346,0.184011335,0.427929731,0.364332488,0.123893805,0.307419549,0.265215281,0.689655172,0.33,0.717372873,0.023199489,0.440056884,,0.049943598
TIRURANGADI,24.55081967,0.106,21300.88989,2404.234302,0.124,2935.368294,49.59194852,93.7,1090,0.732333342,,0.983343378,0.333333333,0.095257763,0.470644825,0.408931879,0.219469027,0.251033925,0.293144944,0.724137931,0.525,0.643497335,0.016656622,0.477322972,,0.06585489
THIRUVALLA,11.50761421,0.019,16705.36475,1432.997969,0.125,1772.079309,41.71148292,97.5,1145,1,,0.992802248,0.051779935,0.057774111,0.367452098,0.235047601,0.221238938,0.148815073,0.201700537,0.986206897,0.25,1,0.007197752,0.560851162,,0.041567644
THIRUVANANTHAPURAM,21.34501348,0.082,24280.54932,3775.797412,0.031,9626.160394,24.21023285,94.7,1058,0.941750005,,0.985668213,0.25566343,0.119561518,0.453631054,0.654488243,0.054867257,0.83895756,0.516104353,0.793103448,0.685,0.922417388,0.014331787,0.603713156,,0.141341905
THODUPUZHA,186.866878,0.045,49591.78662,403.9039423,0.154,449.3946023,60.56231709,95.6,1012,0.732125003,,0.865632549,0.13592233,0.326014008,0.442522963,0.05080483,0.272566372,0.03259003,0.118653744,0.855172414,0.915,0.64321985,0.134367451,0.636939929,,0.033443809
THRISSUR,83.75063613,0.008,55724.31177,1333.042202,0.047,6261.929113,44.50737243,96.1,1076,0.403375003,,0.940411954,0.01618123,0.376034285,0.444209156,0.217152124,0.083185841,0.543340681,0.281226215,0.889655172,0.595,0.205360865,0.059588046,0.437401021,,0.054641561
UDUMBANCHOLA,1048.814224,0.007,34014.20972,394.3992398,0.042,81.6015998,62.5228095,92.5,1005,0.342999995,,0.240552459,0.012944984,0.198954651,0.150817365,0.049103166,0.074336283,0.000271854,0.041237101,0.64137931,0.95,0.124947968,0.759447541,0.618943705,,0.003849379
VADAKARA,186.7602339,0.021,48653.57935,1277.548121,0.028,1515.862202,58.99273376,93.6,1134,0.573833329,,0.865709887,0.058252427,0.318361469,0.414107928,0.2072168,0.049557522,0.126301133,0.127691818,0.717241379,0.305,0.432392681,0.134290113,0.397231043,,0.02100486
VAIKOM,11.60104987,0.049,31855.97144,1033.519732,0.034,533.3191954,54.39606376,96.1,1035,0.85225001,,0.992734489,0.148867314,0.181350863,0.440984222,0.163527433,0.060176991,0.039964531,0.087889652,0.889655172,0.8,0.803213199,0.007265511,0.625033471,,0.024225016
VYTHIRI,850.6195652,0.04,46694.06494,471.3931955,0.019,638.6506019,60.93334774,89.1,1053,0.608499994,,0.384282277,0.1197411,0.302378583,0.268800654,0.062887698,0.033628319,0.049220061,0.048578692,0.406896552,0.71,0.478564881,0.615717723,0.552794789,,0.007218386
VARKALA,30.73096447,0.045,12526.8252,1647.136185,0.082,864.6053006,42.0415772,92.8,1195,0.950510042,,0.978861566,0.13592233,0.023691625,0.379491841,0.273385611,0.145132743,0.069074826,0.16253106,0.662068966,0,0.934084797,0.021138434,0.404323049,,0.024938327
VELLARIKUNDU,202.0293663,0.076,48810.33179,645.2327061,0.002,322.8131004,66.02930917,90.8,1115,0.542666659,,0.854636785,0.236245955,0.319640029,0.470174256,0.094010872,0.003539823,0.021467243,0.039672646,0.524137931,0.4,0.390882091,0.145363215,0.365095809,,0.006810153
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Xmax,1380.521404,0.312,132222.998,5705.664645,0.565,11458.88393,66.02930917,97.7,1195,1,,1,,,,,,,,,,,,,,
Xmin,1.582352941,0.003,9622.213379,120.1318995,0,78.50779998,24.21023285,83.2,995,0.249187498,,0,,,,,,,,,,,,,,
Xmax - Xmin,1378.939051,0.309,122600.7847,5585.532745,0.565,11380.37613,41.81907632,14.5,200,0.750812502,,1,,,,,,,,,,,,,,
